ID	strand	5seen	polyAseen	3seen	5end	polyAend	3end
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/21/489_1326	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/0_918	+	0	1	1	NA	865	887
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/959_1769	-	1	1	1	26	761	781
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/1811_2615	+	0	1	1	NA	749	775
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/2660_3457	-	1	1	1	32	741	766
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/3498_4310	+	1	1	1	27	755	785
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/4351_5160	-	1	1	1	21	754	781
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/24/5203_5365	+	1	0	0	25	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/50/0_564	+	0	0	1	NA	NA	534
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/50/611_2192	+	1	1	1	25	1516	1550
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/50/2245_3517	-	0	1	1	NA	1227	1249
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/57/262_429	+	0	1	1	NA	116	139
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/57/486_1381	-	0	1	1	NA	837	864
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/58/0_1187	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/63/2378_3301	+	0	1	1	NA	869	894
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/63/3342_3848	-	0	1	1	NA	455	477
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/68/0_1571	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/0_664	+	0	1	1	NA	612	634
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/706_1405	-	1	1	1	23	651	668
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/1448_2117	+	0	1	1	NA	621	642
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/2158_2829	-	1	1	1	24	622	643
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/2872_3541	+	1	1	1	25	619	641
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/3583_4243	-	1	1	1	22	604	629
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/4290_4931	+	0	1	1	NA	587	611
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/71/4973_5035	-	0	0	1	NA	NA	37
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/75/0_165	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/75/205_938	-	0	0	1	NA	NA	706
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/76/241_1969	+	0	0	1	NA	NA	1707
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/76/2021_2241	-	0	0	1	NA	NA	194
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/80/0_1487	+	1	1	1	52	1431	1454
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/80/1531_2958	-	1	1	1	26	1369	1396
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/80/2997_4393	+	1	1	1	25	1341	1367
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/80/4438_5680	-	0	1	1	NA	1185	1214
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/94/0_1289	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/97/0_384	+	0	1	1	NA	327	353
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/97/429_1392	-	0	1	1	NA	915	930
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/102/345_1616	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/107/1030_1981	+	0	0	1	NA	NA	925
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/109/0_387	+	0	1	1	NA	325	354
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/109/431_1978	-	1	1	1	25	1490	1514
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/109/2025_3584	+	1	1	1	24	1503	1529
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/109/3627_5155	-	1	1	1	29	1473	1499
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/116/0_276	+	0	1	1	NA	227	246
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/116/328_1694	-	0	1	1	NA	1321	1343
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/116/1741_3245	+	0	1	1	NA	1448	1475
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/116/3283_4783	-	1	1	1	51	1444	1469
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/118/479_1503	+	0	1	1	NA	970	995
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/119/4675_5383	-	1	1	1	30	652	679
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/119/5426_6206	+	1	1	1	23	722	750
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/119/6248_6928	-	0	1	1	NA	623	651
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/122/0_722	+	0	1	1	NA	675	694
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/122/768_2061	-	1	1	0	24	1248	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/122/2104_3334	+	1	1	1	26	1182	1200
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/122/3372_4543	-	0	1	1	NA	1115	1142
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/127/0_2387	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/136/0_2117	+	0	0	1	NA	NA	2090
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/136/2163_4320	-	0	0	1	NA	NA	2132
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/140/0_580	+	0	1	1	NA	521	549
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/140/622_1598	-	1	1	1	24	917	947
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/140/1645_2528	+	1	0	0	20	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/147/0_828	+	0	1	1	NA	780	807
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/147/878_2913	-	1	1	1	18	1981	2004
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/147/2967_4839	+	1	1	1	25	1818	1845
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/147/4878_5756	-	0	1	1	NA	830	851
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/162/0_276	+	0	0	1	NA	NA	251
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/162/324_1728	+	1	1	1	25	1343	1375
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/162/1772_3157	-	1	1	1	24	1330	1355
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/162/3201_4611	+	1	1	1	23	1352	1381
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/162/4659_4844	-	0	1	1	NA	132	158
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/163/0_185	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/169/0_773	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/175/1119_1529	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/180/0_1616	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/183/0_567	+	0	0	1	NA	NA	537
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/183/610_2511	+	1	1	1	22	1847	1872
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/183/2554_4425	-	1	1	1	26	1816	1840
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/183/4474_5994	-	0	0	1	NA	NA	1501
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/186/353_863	+	0	1	1	NA	448	479
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/186/908_1741	-	1	1	1	27	774	800
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/186/1792_1905	-	0	0	1	NA	NA	85
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/189/1354_1920	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/205/0_1157	+	0	0	1	NA	NA	1124
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/205/1198_2442	+	1	1	1	25	1185	1214
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/205/2483_3604	-	0	1	1	NA	1060	1092
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/230/0_1830	-	0	0	1	NA	NA	1770
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/232/0_57	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/232/100_1351	+	1	1	1	25	1183	1225
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/232/1395_2719	-	1	1	1	38	1243	1291
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/236/0_335	+	0	1	1	NA	266	295
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/242/0_1281	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/243/0_2037	+	0	1	1	NA	1983	2009
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/243/2079_4261	-	0	1	1	NA	2127	2152
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/243/4302_5416	-	0	0	1	NA	NA	1087
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/245/1986_3573	+	0	1	1	NA	1527	1556
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/245/3617_5102	-	0	1	1	NA	1429	1454
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/250/4692_5006	+	0	1	1	NA	262	286
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/250/5047_5870	-	1	1	1	25	774	795
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/250/5910_6727	+	0	1	1	NA	768	791
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/250/6768_7458	-	0	1	1	NA	638	661
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/255/0_1854	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/263/0_2211	-	1	0	0	32	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/263/2259_3120	-	0	0	1	NA	NA	832
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/266/1002_1655	+	0	1	1	NA	571	587
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/266/1698_2383	-	1	1	1	23	644	652
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/266/2423_3101	+	1	1	1	27	626	651
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/266/3140_3830	-	1	1	1	24	635	664
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/266/3872_4185	+	1	0	0	27	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/274/0_824	-	1	0	0	26	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/274/870_1420	+	1	0	0	23	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/278/0_1662	+	0	0	1	NA	NA	1619
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/282/0_597	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/282/644_1713	+	0	1	1	NA	1014	1040
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/282/1758_2058	-	0	1	1	NA	249	273
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/282/2111_2873	+	0	0	1	NA	NA	733
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/285/0_2312	+	0	1	1	NA	2259	2281
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/285/2350_2478	-	0	1	1	NA	79	100
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/295/0_574	+	0	1	1	NA	524	551
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/295/633_1739	-	0	1	1	NA	1042	1066
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/295/1786_2669	+	1	1	1	24	831	855
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/295/2709_3309	-	1	1	1	27	546	572
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/297/163_740	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/297/790_2012	+	0	1	1	NA	1166	1194
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/297/2054_3269	-	1	1	1	24	1166	1188
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/297/3311_4541	+	1	1	0	22	1176	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/297/4591_5344	-	0	1	1	NA	702	723
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/300/0_93	+	0	1	1	NA	29	62
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/300/134_970	-	0	1	1	NA	780	804
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/310/0_678	+	0	0	1	NA	NA	652
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/310/721_1751	+	1	1	1	27	974	1000
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/310/1793_2791	-	1	1	1	27	947	971
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/310/2831_3810	+	1	1	1	25	924	950
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/310/3848_4842	-	1	1	1	29	937	963
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/310/4886_5661	+	1	0	0	25	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/313/0_901	+	0	0	1	NA	NA	875
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/313/957_2579	+	1	1	1	25	1575	1600
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/313/2628_4251	-	1	1	1	21	1567	1589
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/313/4292_4818	+	1	0	0	28	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/326/572_941	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/326/986_1824	+	0	1	1	NA	771	805
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/326/1869_3633	+	1	1	1	29	1707	1735
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/326/3676_3836	-	0	1	1	NA	110	135
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/327/0_1187	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/333/0_1797	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/334/44_314	-	0	0	1	NA	NA	244
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/335/0_402	+	0	1	1	NA	346	372
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/335/443_1237	-	1	1	1	25	737	764
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/335/1277_2097	+	1	1	1	25	763	793
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/335/2137_2883	-	0	1	1	NA	689	716
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/336/0_2056	+	0	1	1	NA	1999	2026
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/336/2096_3613	-	1	1	0	26	1478	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/336/3652_5046	+	1	1	1	24	1341	1367
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/336/5084_5281	-	0	1	1	NA	144	167
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/340/0_1486	-	1	0	0	32	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/341/0_697	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/345/2413_3258	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/345/3299_5098	-	1	1	1	26	1748	1768
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/345/5140_6879	+	1	1	0	23	1722	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/347/659_973	+	0	0	1	NA	NA	291
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/347/1014_1334	-	0	0	1	NA	NA	297
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/352/1860_3079	-	1	1	1	27	1151	1170
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/352/3120_3345	-	0	0	1	NA	NA	196
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/353/0_506	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/356/0_397	+	0	1	1	NA	344	370
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/356/442_786	-	0	1	1	NA	291	315
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/364/0_452	+	0	0	1	NA	NA	427
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/366/0_199	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/366/246_1087	-	0	0	1	NA	NA	814
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/367/0_797	-	1	0	0	23	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/367/837_2750	+	1	1	1	26	1851	1883
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/367/2793_4750	-	0	1	1	NA	1900	1927
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/367/4797_5233	+	1	0	0	27	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/372/258_1408	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/376/569_693	+	0	1	1	NA	65	95
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/376/738_1780	-	0	1	1	NA	996	1022
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/376/1821_2701	+	0	1	1	NA	826	854
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/376/2744_3503	-	0	1	1	NA	708	733
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/391/0_68	+	0	0	1	NA	NA	34
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/391/119_1091	-	1	1	1	28	918	940
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/391/1135_2042	+	1	1	1	22	857	878
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/391/2090_3085	-	1	1	1	28	940	964
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/391/3129_4161	+	1	1	1	28	964	996
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/391/4207_4777	-	0	1	1	NA	522	539
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/401/1401_1770	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/402/90_2466	+	0	0	1	NA	NA	2343
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/402/2508_4001	+	1	1	1	26	1438	1463
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/402/4044_4638	-	0	1	1	NA	537	563
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/405/0_2273	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/405/2318_3297	+	1	1	1	24	939	954
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/405/3337_4342	-	1	1	1	26	952	974
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/405/4380_5793	-	0	0	1	NA	NA	1384
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/408/945_2936	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/409/1341_1907	-	1	0	0	19	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/409/1955_3367	-	1	1	1	24	1359	1382
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/409/3410_4749	+	1	0	0	26	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/410/194_1773	+	0	1	1	NA	1512	1540
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/412/0_477	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/419/75_1057	+	0	1	1	NA	919	952
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/419/1103_2004	-	1	1	1	27	851	877
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/419/2045_2943	+	1	1	1	24	852	878
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/419/2991_3884	-	1	1	1	23	838	864
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/419/3926_4012	+	1	0	0	25	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/420/42_389	-	0	1	1	NA	292	317
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/423/0_356	+	0	1	1	NA	298	324
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/423/400_2117	-	1	1	1	44	1674	1687
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/424/0_2621	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/424/2667_2759	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/424/2815_4688	+	0	1	1	NA	1823	1844
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/424/4733_6045	-	0	1	1	NA	1259	1283
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/425/356_412	+	0	0	1	NA	NA	28
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/425/460_1330	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/425/1369_2097	+	0	1	1	NA	678	698
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/425/2144_2951	-	1	1	1	24	756	776
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/425/2995_3675	+	1	1	1	28	622	652
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/425/3715_4399	-	0	1	1	NA	629	654
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/426/1288_3533	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/427/0_1343	+	0	1	1	NA	1288	1317
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/427/1394_3863	-	0	1	1	NA	2413	2439
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/430/688_2285	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/431/0_472	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/441/0_176	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/448/0_534	+	0	1	1	NA	477	504
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/448/575_1482	-	1	1	1	25	855	878
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/448/1527_1793	+	1	0	0	27	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/451/199_970	+	0	1	1	NA	696	725
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/452/0_666	+	0	1	1	NA	604	637
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/452/709_1558	-	1	1	1	29	800	821
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/452/1605_2458	+	1	1	1	25	783	822
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/452/2501_3345	-	1	1	1	27	784	809
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/452/3389_4220	+	1	1	1	29	771	802
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/452/4265_4675	+	1	0	0	27	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/460/0_1658	+	0	1	1	NA	1599	1627
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/460/1703_2853	-	0	1	1	NA	1092	1119
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/462/0_121	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/462/171_1693	-	1	0	0	26	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/462/1736_2774	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/469/0_434	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/480/0_754	+	0	1	1	NA	699	726
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/480/804_2919	-	1	1	1	18	2073	2095
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/480/2965_5066	-	1	1	1	25	2045	2071
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/492/509_4754	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/493/2195_3757	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/495/0_466	NA	0	0	0	NA	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/497/4231_4869	+	0	0	1	NA	NA	609
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/497/4911_6337	+	1	0	0	26	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/498/1077_1586	+	0	0	1	NA	NA	481
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/498/1634_2195	+	0	1	1	NA	513	531
